feature_X,feature_X_num,age,cpi_sum,unique_users,payers_cumsum,revenue_cumsum,rpi,roas,c2p,cpa,cpi,arppu
B0,0,37.0,4636846.09,471283,21599.0,1324051.254431,2.8094610975379974,0.28554996839047553,0.04583021242013822,214.6787392934858,9.838772223907927,61.30150721936201
B0,0,38.0,4636846.09,471283,21695.0,1354674.312594,2.874439164141291,0.2921542544868036,0.04603391168363807,213.72878958285318,9.838772223907927,62.44177518294538
B0,0,39.0,4636846.09,471283,21776.0,1383432.382715,2.9354599735509237,0.2983563301138167,0.04620578293721607,212.93378444158705,9.838772223907927,63.53014248323843
B0,0,40.0,4636846.09,471283,21869.0,1412980.648169,2.998157472620485,0.30472882229502685,0.046403116598731545,212.02826329507522,9.838772223907927,64.61112296716813
B0,0,41.0,4636846.09,471283,21968.0,1441759.244004,3.059221834872041,0.3109353245761927,0.04661318146421577,211.07274626729787,9.838772223907927,65.62997286981063
B0,0,42.0,4636846.09,471283,22063.0,1471389.835916,3.122094019763072,0.31732557159687824,0.046814758860387495,210.16389838190634,9.838772223907927,66.69037918306667
B0,0,43.0,4636846.09,471283,22156.0,1502887.90832,3.1889287504959865,0.3241185666181989,0.04701209252190298,209.28173361617618,9.838772223907927,67.83209551904676
B0,0,44.0,4636846.09,471283,22270.0,1530825.361219,3.2482083190333624,0.33014366478983137,0.047253985397309045,208.21042164346656,9.838772223907927,68.73935164881006
B0,0,45.0,4636846.09,471283,22332.0,1559341.543673,3.3087158749053116,0.33629357399546556,0.0473855411716527,207.63237014150096,9.838772223907927,69.82543183203475
B0,0,46.0,4636846.09,471283,22416.0,1585876.414851,3.365019351113874,0.3420161860172935,0.04756377802721507,206.8543045146324,9.838772223907927,70.74752029135439
B0,0,47.0,4636846.09,471283,22512.0,1612813.426135,3.4221761152746866,0.3478255251157151,0.04776747729071492,205.97219660625444,9.838772223907927,71.64238744380775
B0,0,48.0,4636846.09,471283,22606.0,1641095.7407820001,3.482187434687863,0.35392499749371675,0.04796693281955852,205.11572547111385,9.838772223907927,72.59558262328586
B0,0,49.0,4636846.09,471283,22678.0,1668411.005787,3.540146803061006,0.35981591223939036,0.04811970726718341,204.46450701120028,9.838772223907927,73.56958311081225
B0,0,50.0,4636846.09,471283,22745.0,1695240.830224,3.597076130953164,0.36560213501155914,0.04826187237816768,203.86221543196305,9.838772223907927,74.5324612101121
B0,0,51.0,4636846.09,471283,22812.0,1721410.557993,3.6526048212920896,0.37124599880627046,0.04840403748915195,203.26346177450463,9.838772223907927,75.46074688729615
B0,0,52.0,4636846.09,471283,22859.0,1747460.62967,3.70787961727879,0.37686405710956,0.048503765253573757,202.8455352377619,9.838772223907927,76.44519137626318
B0,0,53.0,4636846.09,471283,22909.0,1773885.371784,3.763949414224574,0.38256291827534006,0.04860985861997993,202.40281505085338,9.838772223907927,77.43181159299839
B0,0,54.0,4636846.09,471283,22972.0,1798384.8626950001,3.8159340835442825,0.3878465723875256,0.048743536261651704,201.84773158627894,9.838772223907927,78.28595083993558
B0,0,55.0,4636846.09,471283,23039.0,1823553.581951,3.8693387666243,0.3932745548496306,0.048885701372635974,201.26073570901514,9.838772223907927,79.15072624467209
B0,0,56.0,4636846.09,471283,23106.0,1850485.594189,3.9264849234727333,0.3990828158346313,0.049027866483620244,200.6771440318532,9.838772223907927,80.08679971388385
B0,0,57.0,4636846.09,471283,23172.0,1877957.090169,3.9847757932473695,0.4050074239511797,0.049167909727276395,200.10556231658896,9.838772223907927,81.04423831214396
B0,0,58.0,4636846.09,471283,23224.0,1904540.83488,4.041182972608815,0.4107405762264583,0.04927824682833881,199.6575133482604,9.838772223907927,82.00744208060627
B0,0,59.0,4636846.09,471283,23283.0,1929702.861911,4.094573455675253,0.41616711541766965,0.049403437000698096,199.15157368036762,9.838772223907927,82.8803359494481
B0,0,60.0,4636846.09,471283,23335.0,1953761.1408270001,4.1456219316779945,0.4213556160599241,0.04951377410176051,198.70778187272336,9.838772223907927,83.72663984688238
B0,0,61.0,4636846.09,471283,23385.0,1977449.4656780001,4.195885414237305,0.42646433099055053,0.049619867468166684,198.28292024802224,9.838772223907927,84.56059293042549
B0,0,62.0,4636846.09,471283,23441.0,2001201.129643,4.246283293993206,0.43158670587727016,0.0497386920385416,197.80922699543532,9.838772223907927,85.37183267108911
B0,0,63.0,4636846.09,471283,23479.0,2025372.95298,4.297572696193158,0.43679969394455365,0.049819322997010286,197.48907917713703,9.838772223907927,86.26316934196517
B0,0,64.0,4636846.09,471283,23527.0,2049869.400972,4.349550908842458,0.44208269180916465,0.04992117262876022,197.086160156416,9.838772223907927,87.12838020028053
B0,0,65.0,4636846.09,471283,23568.0,2072938.451512,4.398500373474112,0.44705785166830936,0.050008169189213275,196.74329981330618,9.838772223907927,87.95563694467074
B0,0,66.0,4636846.09,471283,23618.0,2094504.463404,4.444260589505669,0.45170886045173875,0.050114262555619446,196.32678846642392,9.838772223907927,88.6825498943179
B0,0,67.0,4636846.09,471283,23660.0,2117117.219934,4.492241858785486,0.45658561419579063,0.05020338098340063,195.97827937447167,9.838772223907927,89.4808630572274
B0,0,68.0,4636846.09,471283,23701.0,2137341.365027,4.53515481149755,0.4609472308422038,0.050290377543853695,195.63925952491454,9.838772223907927,90.17937492202861
B0,0,69.0,4636846.09,471283,23739.0,2159751.191294,4.58270548968242,0.46578021986794044,0.05037100850232239,195.3260916635073,9.838772223907927,90.97902992097393
B0,0,70.0,4636846.09,471283,23771.0,2179849.765559,4.625351997757186,0.4701147554282959,0.05043890825682233,195.06314795338858,9.838772223907927,91.70206409318077
B0,0,71.0,4636846.09,471283,23814.0,2201385.637108,4.671048259979672,0.4747592640298311,0.05053014855193164,194.71093012513646,9.838772223907927,92.44081788477367
B0,0,72.0,4636846.09,471283,23850.0,2222705.605631,4.716286404625246,0.4793572101572602,0.05060653577574409,194.41702683438155,9.838772223907927,93.19520359039832
B0,0,73.0,4636846.09,471283,23895.0,2242510.005555,4.7583087137770725,0.4836283029517161,0.05070201980550964,194.0508930738648,9.838772223907927,93.84850410357816
B0,0,74.0,4636846.09,471283,23931.0,2261473.894155,4.798547569411585,0.4877181278525033,0.050778407029322084,193.75897747691278,9.838772223907927,94.49976574965525
B0,0,75.0,4636846.09,471283,23956.0,2280501.514618,4.838921655603958,0.4918216974111384,0.05083145371252517,193.55677450325595,9.838772223907927,95.1954213816163
B0,0,76.0,4636846.09,471283,23987.0,2299313.947158,4.87883914157311,0.4958788587175211,0.050897231599696995,193.30662817359402,9.838772223907927,95.85667016125402
